arm,seed,step,novelty_vector_count,h_n_latest,h_n_shape_latest,V,H_N,L_t,total_suppression,avg_wb,theta_capability,transfer_state,g,population,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,adapter_active,action_modified,adapter_score,shape_fallback_increase
R20,1835087600,13,234,0.9840918724564641,0.9840931644795594,0.10780541727536884,0.9840918724564641,0.39414822771652847,0.126,0.7778148057839595,0.6315899735120232,0.823311403129653,0.9862678824401827,242,0.13671649347421924,0.15198295134139791,0.03958329740963941,0.24151878663199774,0.3867489602588715,0.04344951088387426,0.6,0.0,False,False,0.0,0
R20,1835087600,14,242,0.9853008166154951,0.9853016663366889,0.11115090587411759,0.9853008166154951,0.4140747376836117,0.126,0.7850135143204282,0.644683607945756,0.837436702434117,0.9806578373838184,245,0.24591416386667386,0.21194233923007608,0.0849489815655899,0.1495881915691783,0.28228219808714683,0.02532412568133505,0.6,0.0,False,False,0.0,0
R20,1835087600,15,245,0.985558134844499,0.989241593006931,0.044521388290666715,0.985558134844499,0.43849349070107374,0.456,0.7851965953959928,0.6567814891108914,0.8469912270335394,0.987560211837751,252,0.24165076953029055,0.16973050612389018,0.0982869820503004,0.18132905033594776,0.26649097421416984,0.04251171774540134,0.4,0.4,False,False,0.0,0
R20,1835087600,16,252,0.9836543583221988,0.9847602258993099,0.0540629826491435,0.9836543583221988,0.4653832600785592,0.4,0.7847621902887174,0.6739424146553469,0.8545185928542999,1.0049933829872364,259,0.31326504501698144,0.20499966311675233,0.008174324731171278,0.18550555711108113,0.2611324426205725,0.02692296740344121,0.0,0.4,False,False,0.0,0
R20,1835087600,17,259,0.9868581826211758,0.9868595094317838,0.10761627295040843,0.9868581826211758,0.48485626527382214,0.126,0.7754500388435525,0.6902452939225795,0.8570923977331634,1.0385370369928488,262,0.35116201783533624,0.1373582352945882,0.03766785267351596,0.22720003282526416,0.24012832082146737,0.006483540549827959,0.6,0.0,False,False,0.0,0
R20,1835087600,18,262,0.9838699892817705,0.9901112510485043,0.04033079400994884,0.9838699892817705,0.4952193458326763,0.456,0.7789952821476148,0.7025106114548736,0.8675886495647713,1.0394514265209032,264,0.27221977785528856,0.17544255232546896,0.003425639990037237,0.12433215981131712,0.28102745802462176,0.14355241199326613,0.4,0.4,False,False,0.0,0
R20,1835087600,19,264,0.987323432747221,0.9873720097035631,0.0789611806914377,0.987323432747221,0.5108766412218961,0.256,0.7862521921793288,0.697723126236181,0.8784137738359998,1.0102343042781823,261,0.06672556692563954,0.16314609169294034,0.1409082869666269,0.2874394955759561,0.2879199461385279,0.05386061270030935,0.4,0.2,False,False,0.0,0
R20,1835087600,20,261,0.9890260990451103,0.9890467775078283,0.08577302527107634,0.9890260990451103,0.5472898287820944,0.256,0.7848336312637665,0.6972600816373546,0.8781360977028031,1.0117084267651293,274,0.11778889641228343,0.17028449387621403,0.16455329024731422,0.2942347677994321,0.23781850625201642,0.015320045412739822,0.4,0.2,False,False,0.0,0
R20,1835087600,21,274,0.986398552122995,0.9864018786176126,0.10029614907340954,0.986398552122995,0.5803326011626209,0.2,0.7842866506788133,0.7098325338967614,0.8775618563793506,1.0313435086369263,282,0.28044320426593095,0.19068832619349402,0.014852687522929536,0.261804978922148,0.2361968422341391,0.01601396086135856,0.0,0.2,False,False,0.0,0
R20,1835087600,22,282,0.9881010872660386,0.9882637974836991,0.06934605681598462,0.9881010872660386,0.5884642709399384,0.326,0.7863530879822735,0.7045188540953352,0.875115219335706,1.0237874149738773,283,0.06472433616764817,0.20108257890092704,0.14664077183814914,0.27029513952680473,0.22654774297145222,0.09070943059501872,0.6,0.2,False,False,0.0,0
R20,1835087600,23,283,0.9884475789512117,0.9884483117007872,0.11235520778751128,0.9884475789512117,0.5967097306992822,0.126,0.7953488841695318,0.6995612942851342,0.88250636012927,0.9966673984605791,279,0.06585478618207291,0.2988568674304543,0.016182848555577826,0.29303566627100114,0.27451331363567266,0.05155651792522098,0.6,0.0,False,False,0.0,0
R20,1835087600,24,279,0.9893070926611662,0.9893070957389193,0.15592446030241605,0.9893070926611662,0.6209813649685455,0.0,0.7941170781187378,0.6978996602249288,0.8714926656814955,1.0084275788158743,291,0.10395538317564067,0.2007294402090492,0.11611487692357347,0.3066544438033508,0.18618470782576274,0.08636114806262324,0.0,0.0,False,False,0.0,0
R20,1835087600,25,291,0.9849428211632508,0.9907399624636377,0.04092343942623361,0.9849428211632508,0.6310135284282944,0.456,0.79689616233617,0.7050985269756953,0.8776688899351529,1.0081319239001514,292,0.21367312202516237,0.17854171569621843,0.09405298375487971,0.20877509953996784,0.26662745410903477,0.03832962487473691,0.4,0.4,False,False,0.0,0
R20,1835087600,26,292,0.9912344754896083,0.9912344801294369,0.15267252049227156,0.9912344754896083,0.6329312109031641,0.0,0.8055823180811799,0.7018564962463115,0.879556145023482,0.990546417574095,289,0.08766119524251233,0.3028562755868878,0.03722275853707889,0.2170330981672962,0.24827072040922213,0.10695595205700259,0.0,0.0,False,False,0.0,0
R20,1835087600,27,289,0.988210793142208,0.988213744342877,0.10126363367283767,0.988210793142208,0.6343799216275835,0.22400000000000003,0.8104309277044199,0.698288220401223,0.8755555184657408,0.9840904561832999,288,0.08155686209033779,0.1651300826638142,0.10099798062689001,0.31504630623366014,0.2197749397230346,0.11749382866226325,0.8,0.0,False,False,0.0,0
R20,1835087600,28,288,0.9890135333888527,0.9890180853508,0.09782064142933922,0.9890135333888527,0.6399559967579203,0.21400000000000002,0.813019778625989,0.7063002976849223,0.869429088568703,0.99920388052808,290,0.22408110379700644,0.2806440410505372,0.05527060829972304,0.2004130224550879,0.20714560974768167,0.03244561464996375,0.2,0.2,False,False,0.0,0
R20,1835087600,29,290,0.9899719724363865,0.9901424356676297,0.06899064213917899,0.9899719724363865,0.6378534567240519,0.35,0.8103960598764597,0.7209852828006762,0.8658276216278676,1.0275374098820187,288,0.3666376241380941,0.20284770662225624,0.030189241494217475,0.18189496465052762,0.21670720958017425,0.0017232535147302102,1.0,0.0,False,False,0.0,0
R20,1835087600,30,288,0.9894944242608322,0.9894987579729165,0.09821561843981946,0.9894944242608322,0.6479020275491798,0.2,0.8041285660204263,0.7265679102315173,0.8747879496627056,1.032875391816408,287,0.20789864463593663,0.15191121350043263,0.024031955046280064,0.2579637844844042,0.2777154509881233,0.08047895134482327,0.0,0.2,False,False,0.0,0
R20,1835087600,31,287,0.989882468645617,0.9898859910182991,0.09986877409520273,0.989882468645617,0.6775555295554662,0.21400000000000002,0.8051637817575342,0.7294951362373621,0.887309154696435,1.0210880823014008,292,0.1781952689677576,0.20184089781921463,0.0026635777138483163,0.25481867207500786,0.34186767997150175,0.020613903452669873,0.2,0.2,False,False,0.0,0
R20,1835087600,32,292,0.990969033739956,0.9909690529303036,0.14136923156597536,0.990969033739956,0.6870307639745362,0.05600000000000001,0.809803544451742,0.722375695266104,0.8985782392267915,0.9927217909044753,290,0.05444144800762535,0.17092522332296642,0.004668874296614528,0.28098906585422456,0.3307835825155043,0.1581918060030649,0.4,0.0,False,False,0.0,0
R20,1835087600,33,290,0.9907006920045652,0.99070069804619,0.1505668084882167,0.9907006920045652,0.6903683220841029,0.014000000000000002,0.8052108893510687,0.7335610468430961,0.867733482565805,1.0498814600934994,296,0.2788017042537155,0.23200250084861146,0.046633295761170535,0.32195883792901087,0.09506533630846338,0.02553832489902839,0.2,0.0,False,False,0.0,0
R20,1835087600,34,296,0.9890873375750734,0.989087338792568,0.163304902494451,0.9890873375750734,0.7053745667620551,0.014000000000000002,0.8057430229558703,0.743452047474786,0.8681565189237967,1.062816718933145,297,0.2696131621730586,0.16248962660935126,0.04028135526506337,0.2575956192368401,0.23598192307286162,0.03403831364282513,0.2,0.0,False,False,0.0,0
R20,1835087600,35,297,0.9895836159289919,0.989583869418721,0.1208138132120357,0.9895836159289919,0.7097216365598883,0.126,0.8098645325470026,0.7554849881321422,0.8732700883006606,1.0682302561951234,297,0.3025692878886934,0.25787033927520503,0.014345117626054869,0.14910561319317803,0.2596461063462173,0.016463535670651612,0.6,0.0,False,False,0.0,0
R20,1835087600,36,297,0.9906958918717531,0.9906958935426383,0.16079800881920608,0.9906958918717531,0.7145861103725384,0.0,0.8052054125044521,0.7677107387255351,0.8580465242746536,1.1111689408879513,298,0.32236425418707687,0.16857150126177048,0.0693603651541165,0.2688835747247944,0.16051722402029533,0.01030308065194643,0.0,0.0,False,False,0.0,0
R20,1835087600,37,298,0.9870382442664987,0.9870493979931773,0.0906708394651692,0.9870382442664987,0.7127460699756006,0.22400000000000003,0.8006265956921382,0.7586702120762656,0.8630339064078261,1.0979818509275787,299,0.05431262858759095,0.15542528550354967,0.01893779102631827,0.43106809750682124,0.25396017280318917,0.0862960245725309,0.8,0.0,False,False,0.0,0
R20,1835087600,38,299,0.9893441764909093,0.9893487132838037,0.09784987264835471,0.9893441764909093,0.7484999924015066,0.2,0.7933451961267642,0.751532542037263,0.8684853290131206,1.0907446911106602,315,0.0724480070601334,0.17279206325295512,0.06894392957400557,0.26547442573083585,0.2587740662303857,0.16156750815168425,0.0,0.2,False,False,0.0,0
R20,1835087600,39,315,0.990403310088983,0.9904033173243699,0.14912913085309173,0.990403310088983,0.7596624146569169,0.0,0.7919776571186938,0.753309111762556,0.8789341928015213,1.0821910326047686,320,0.17941496033945117,0.1851143221707997,0.1610152945018278,0.1786878476835853,0.2864869834485636,0.00928059185577226,0.0,0.0,False,False,0.0,0
R20,1835087600,40,320,0.9887532089382688,0.9901047905290047,0.05250891579674079,0.9887532089382688,0.7515040808731088,0.4,0.7911570418036928,0.7629854325167701,0.852789836602432,1.1308670034295603,320,0.2792722042792736,0.16935187771267035,0.04947029350624169,0.33268945508456416,0.10874531540531422,0.06047085401193606,0.0,0.4,False,False,0.0,0
R20,1835087600,41,320,0.9925396949253286,0.9925400572573029,0.11799391931180879,0.9925396949253286,0.7673070488904968,0.126,0.7899981605018587,0.7579398446259336,0.8675108529421888,1.1059455401364577,322,0.10129604668752534,0.1753146830906856,0.08509332602836082,0.24495097782692302,0.38855212174905024,0.00479284461745494,0.6,0.0,False,False,0.0,0
R20,1835087600,42,322,0.9885227650182679,0.9888456756332366,0.06389486913277866,0.9885227650182679,0.7906169059314123,0.326,0.787618620812428,0.7574036343848628,0.8670952602219217,1.1090333275980762,332,0.15450977487782466,0.1681243379924791,0.06221825891794224,0.2704269587258944,0.2316774628697591,0.11304320661610047,0.6,0.2,False,False,0.0,0
R20,1835087600,43,332,0.9907056428241816,0.9907120455962091,0.09511850336239808,0.9907056428241816,0.7976313382926661,0.2,0.7925070167040223,0.7462624838900449,0.8739956797794408,1.0774055474595754,332,0.02161289030531512,0.2940168188778786,0.03376987056051206,0.3819553429089357,0.2680497278985561,0.0005953494488025958,0.0,0.2,False,False,0.0,0
R20,1835087600,44,332,0.9908370921849106,0.990837185253743,0.12879975571109206,0.9908370921849106,0.7804853841220153,0.126,0.7974741232991012,0.7561341090796276,0.8604405221335897,1.1019486939074374,326,0.27730936730106237,0.21440882418255666,0.00899896838139985,0.2133083380022807,0.16922205166046494,0.11675245047223545,0.6,0.0,False,False,0.0,0
R20,1835087600,45,326,0.9904795574319943,0.9904795683917862,0.1458243268774046,0.9904795574319943,0.794935617591412,0.014000000000000002,0.7964959964792777,0.7560301371726628,0.8743964699202307,1.0855432095791713,334,0.15878416933770598,0.2666459304704782,0.0054583390741853215,0.1566277677679112,0.321773539210937,0.0907102541387823,0.2,0.0,False,False,0.0,0
R20,1835087600,46,334,0.9904151345867882,0.9915616731570028,0.053830275126520596,0.9904151345867882,0.7850911044986526,0.41400000000000003,0.8026487927739,0.7551286246511515,0.8727232766349914,1.0780001399732277,329,0.14874992921402397,0.17190988730179654,0.013206385113539734,0.22518188901500605,0.22883226853391891,0.21211964082171483,0.2,0.4,False,False,0.0,0
R20,1835087600,47,329,0.9918001357832719,0.9918155718329799,0.08812270083811097,0.9918001357832719,0.8172052304380882,0.256,0.7959321203004149,0.745427618972037,0.8854509489714922,1.0577059339712678,341,0.03819281941803859,0.21608780770157,0.03924034696904159,0.37366532087221427,0.321700540718686,0.011113164320449518,0.4,0.2,False,False,0.0,0
R20,1835087600,48,341,0.989078924227646,0.9901174969389213,0.05460592520062727,0.989078924227646,0.7917860052922671,0.4,0.80130536014746,0.7520521498116886,0.8954678591344623,1.0480932084234413,324,0.2361988973531674,0.16359821860046125,0.01612367849193075,0.21738345819971502,0.2928100253005963,0.07388572205412935,0.0,0.4,False,False,0.0,0
R20,1835087600,49,324,0.9748804101700871,0.9898921178808584,0.03334288785857459,0.9748804101700871,0.8037208782234833,0.526,0.79602855930755,0.7452703314370676,0.905921073221016,1.0334627347984124,333,0.07275986394954313,0.1866527432196703,0.03226639336936074,0.2598101072524608,0.44755926675967733,0.0009516254492877169,0.6,0.4,False,False,0.0,0
R20,1835087600,50,333,0.9924671152830782,0.9924671212491256,0.15068119286335657,0.9924671152830782,0.7886962592160647,0.014000000000000002,0.7969004837885333,0.7580068148652142,0.8659611013634712,1.0984255735196822,327,0.3355677439197717,0.210494871422649,0.054870305351829865,0.290366884904375,0.053160677322783734,0.05553951707859078,0.2,0.0,True,True,0.03,0
R20,1835087600,51,327,0.9891555586993827,0.9908942675274033,0.050510377543642744,0.9891555586993827,0.7657644911744975,0.41400000000000003,0.7975609590896158,0.7701064741219534,0.8284471214921233,1.1655263440366173,325,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.06,0
R20,1835087600,52,325,0.987762448382391,0.9900692067464616,0.04825343012053417,0.987762448382391,0.7442293994461819,0.456,0.7892618723246002,0.7790472434577872,0.7984506148632218,1.236216717042585,327,0.2805761630241424,0.15539690992110394,0.13135016879622832,0.2546053000025601,0.06424102760155408,0.11383043065441104,0.4,0.4,True,True,0.09000000000000001,0
R20,1835087600,53,327,0.9884540707944628,0.9898011147824263,0.052533242936217334,0.9884540707944628,0.7314603068095806,0.41400000000000003,0.7898048557915948,0.7900948812848978,0.7676876836418989,1.3030913910716109,327,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.12000000000000001,0
R20,1835087600,54,327,0.9859407993409729,0.9874660415092988,0.05152547703373576,0.9859407993409729,0.7011042918020144,0.41400000000000003,0.7918901089293774,0.8005901372206529,0.7400010455427082,1.3661959191473205,319,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.15000000000000002,0
R20,1835087600,55,319,0.9850493742219428,0.9863972328867407,0.05250100870825132,0.9850493742219428,0.6952293533822875,0.41400000000000003,0.7892722817907842,0.8105606303596202,0.7150830712534366,1.4361577887325647,323,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.18000000000000005,0
R20,1835087600,56,323,0.9878113790584564,0.9888412581353918,0.05466257048451644,0.9878113790584564,0.6858455419609237,0.41400000000000003,0.7910790351487134,0.8200325988416393,0.6926568943930922,1.4965563732203906,322,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.21000000000000008,0
R20,1835087600,57,322,0.9911421033117609,0.9919646095913447,0.05647742121466771,0.9911421033117609,0.6430470514897321,0.41400000000000003,0.7916857566497191,0.8290309688995573,0.6724733352187822,1.55719447501863,323,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.2400000000000001,0
R20,1835087600,58,323,0.9863086169321728,0.9878284656050841,0.05155659599779848,0.9863086169321728,0.6066096363486112,0.41400000000000003,0.7902351834127821,0.8375794204545794,0.6543081319619032,1.619896691625585,331,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.27000000000000013,0
R20,1835087600,59,331,0.9854170499173214,0.9862294500905732,0.05652967655245202,0.9854170499173214,0.5693398907312297,0.41400000000000003,0.7951331032665955,0.8457004494318505,0.6379594490307121,1.6671844562340319,328,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.30000000000000016,0
R20,1835087600,60,328,0.9924221761379037,0.9936242687838299,0.05347017361652065,0.9924221761379037,0.5404067941154075,0.41400000000000003,0.8007718071606607,0.853415426960258,0.6232456343926401,1.7099856647579923,324,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.3300000000000002,0
R20,1835087600,61,324,0.9916761173095978,0.9921857772886994,0.06028898575243832,0.9916761173095978,0.5089061016754869,0.41400000000000003,0.8052739500974047,0.8607446556122451,0.6100032012183754,1.7522600939266342,320,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.3600000000000002,0
R20,1835087600,62,320,0.9860258632524806,0.9871055549144732,0.05427259892690723,0.9860258632524806,0.47524841638388626,0.41400000000000003,0.7996729388235109,0.8677074228316328,0.598085011361537,1.8142536035676438,325,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.39000000000000024,0
R20,1835087600,63,325,0.9891332252269854,0.9902755242474697,0.0538494319386497,0.9891332252269854,0.45171530158099954,0.41400000000000003,0.8062500131547484,0.8743220516900512,0.5873586404903826,1.8462832744056925,318,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.42000000000000026,0
R20,1835087600,64,318,0.9872404420854327,0.987847852768472,0.05885742183464396,0.9872404420854327,0.4326009163626655,0.41400000000000003,0.8014108217529461,0.8806059491055486,0.5777049067063436,1.9020431111389844,327,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.45000000000000023,0
R20,1835087600,65,327,0.988056611693607,0.9892333215901308,0.05360479976358022,0.988056611693607,0.4137197507905487,0.41400000000000003,0.8006542669571246,0.8865756516502712,0.5690165463007084,1.9460136494938614,329,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.48000000000000026,0
R20,1835087600,66,329,0.9852009420410952,0.9863311489052881,0.05390237576595783,0.9852009420410952,0.3969300064284985,0.41400000000000003,0.8025566983265862,0.8922468690677576,0.5611970219356368,1.9810432226374601,329,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.5100000000000002,0
R20,1835087600,67,329,0.9885751867251192,0.9899121699742944,0.05259381096338388,0.9885751867251192,0.37677465251362735,0.41400000000000003,0.8039741532821468,0.8976345256143697,0.5541594500070723,2.0147572066065376,323,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.5400000000000001,0
R20,1835087600,68,323,0.9883633581472995,0.9895459280929199,0.05356777179957394,0.9883633581472995,0.34985790464307076,0.41400000000000003,0.8015076625708706,0.9027527993336513,0.5478256352713643,2.055979661409175,315,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.5700000000000001,0
R20,1835087600,69,315,0.9873177920478039,0.9879441189356505,0.05861408366716409,0.9873177920478039,0.3308787254357522,0.41400000000000003,0.8018354058191205,0.9076151593669687,0.5421252020092271,2.0879347144633273,309,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.6,0
R20,1835087600,70,309,0.9884436595217327,0.9895740017161756,0.05392755084032588,0.9884436595217327,0.3249689934487237,0.41400000000000003,0.8015426724047938,0.9122344013986202,0.5369948120733036,2.1193842752142036,314,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.6299999999999999,0
R20,1835087600,71,314,0.9887477341541097,0.9900229392516025,0.0529712827712551,0.9887477341541097,0.3214555114477432,0.41400000000000003,0.8051323697591682,0.9166226813286892,0.5323774611309724,2.1384724083726327,316,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.6599999999999998,0
R20,1835087600,72,316,0.9892264630169215,0.990113575919048,0.05586064345517587,0.9892264630169215,0.30622177151155217,0.41400000000000003,0.8008842519900715,0.9207915472622548,0.5282218452828744,2.176582894305949,315,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.6899999999999997,0
R20,1835087600,73,315,0.98815696206208,0.9889788567963761,0.05645934637725572,0.98815696206208,0.30150495591223947,0.41400000000000003,0.8016583681219007,0.924751969899142,0.5244817910195863,2.1994065792801276,318,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.7199999999999996,0
R20,1835087600,74,318,0.9880385426350075,0.9890947260258844,0.054463854009537814,0.9880385426350075,0.28969027422101085,0.41400000000000003,0.8059094261294036,0.9285143714041849,0.5211157421826269,2.210895429297101,308,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.7499999999999996,0
R20,1835087600,75,308,0.9910507283485028,0.9927034575816596,0.0509285913928559,0.9910507283485028,0.284410624826404,0.41400000000000003,0.811200472885599,0.9320886528339757,0.5180862982293635,2.2178231841356753,302,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.7799999999999995,0
R20,1835087600,76,302,0.9877858523555414,0.9883887322229403,0.05892137762947447,0.9877858523555414,0.2790832507812789,0.41400000000000003,0.8084322167757908,0.935484220192277,0.5153597986714263,2.24534104903561,307,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.8099999999999994,0
R20,1835087600,77,307,0.9895471134010388,0.9907031810421533,0.05375749623921852,0.9895471134010388,0.2808723890491037,0.41400000000000003,0.8127805568361419,0.9387100091826631,0.5129059490692829,2.251751217885601,309,0.3767584159996833,0.2577336438599628,0.027121841843188735,0.2761862694112836,0.04541065132499614,0.016789177560885504,0.2,0.4,True,True,0.8399999999999993,0
